BHID,Depth,UTM_Azimuth,Dip,DataSet,DHSurvey_Method
PDH-01,0,123,-60,Pani,
PDH-01,25,123,-61,Pani,Reflex
PDH-01,75,123,-61.7999992,Pani,Reflex
PDH-01,125,123.4000015,-62.0999985,Pani,Reflex
PDH-02,0,123,-63,Pani,
PDH-02,25,120.1999969,-63.0999985,Pani,Reflex
PDH-02,75,118.8000031,-63.7999992,Pani,Reflex
PDH-02,125,118.9000015,-63.7999992,Pani,Reflex
PDH-03,0,123,-45,Pani,
PDH-03,25,122,-45.7999992,Pani,Reflex
PDH-03,75,121.5999985,-46,Pani,Reflex
PDH-04,0,123,-60,Pani,
PDH-04,25,124.3000031,-60.7999992,Pani,Reflex
PDH-04,75,124.1999969,-60.9000015,Pani,Reflex
PDH-05,0,123,-65,Pani,
PDH-05,25,121.1999969,-66.0999985,Pani,Reflex
PDH-05,75,121.1999969,-66.1999969,Pani,Reflex
PDH-05,125,121.1999969,-66.5999985,Pani,Reflex
PDH-06,0,123,-50,Pani,
PDH-06,25,123.1999969,-50,Pani,Reflex
PDH-06,96.9000015,122.9000015,-50.7999992,Pani,Reflex
PDH-07A,0,123,-45,Pani,
PDH-07A,25,126.0999985,-46.2999992,Pani,Reflex
PDH-07A,75,124.1999969,-47,Pani,Reflex
PDH-07A,125,124.5999985,-47.4000015,Pani,Reflex
PDH-07B,0,0,-90,Pani,
PDH-07B,25,287.1000061,-89.3000031,Pani,Reflex
PDH-07B,75,306.2999878,-89.5,Pani,Reflex
PDH-07B,130,303.1000061,-89.1999969,Pani,Reflex
PDH-08A,0,180,-45,Pani,
PDH-08A,25,176.1000061,-47.0999985,Pani,Reflex
PDH-08A,75,175.6000061,-47.4000015,Pani,Reflex
PDH-08A,185.1000061,176.1000061,-51.0999985,Pani,Reflex
PDH-08B,0,124,-60,Pani,
PDH-08B,25,118.1999969,-60.5999985,Pani,Reflex
PDH-08B,75,117.3000031,-61.5999985,Pani,Reflex
PDH-09,0,123,-60,Pani,
PDH-09,25,125.3000031,-61.4000015,Pani,Reflex
PDH-09,75,125.0999985,-62.2999992,Pani,Reflex
PDH-09,125,125,-62.5999985,Pani,Reflex
PDH-09,185,125.5,-63.5999985,Pani,Reflex
PDH-10,0,123,-75,Pani,
PDH-10,25,124.1999969,-75.5999985,Pani,Reflex
PDH-10,75,124.1999969,-76.1999969,Pani,Reflex
PDH-10,125,123.4000015,-76.8000031,Pani,Reflex
PDH-10,180,123.4000015,-76.9000015,Pani,Reflex
PDH-100,0,0,-90,Pani,
PDH-100,25,207.8999939,-88.9000015,Pani,Reflex
PDH-100,75,246,-89.1999969,Pani,Reflex
PDH-101,0,123,-65,Pani,
PDH-101,25,124.1999969,-64.8000031,Pani,Reflex
PDH-101,75,123.1999969,-65.8000031,Pani,Reflex
PDH-101,125,122.8000031,-66.1999969,Pani,Reflex
PDH-101,175,121.6999969,-66.5,Pani,Reflex
PDH-101,225,121.5999985,-66.9000015,Pani,Reflex
PDH-101,275,121,-67,Pani,Reflex
PDH-101,325,121.3000031,-67.6999969,Pani,Reflex
PDH-101,369,121.4000015,-68.1999969,Pani,Reflex
PDH-102,0,210,-60,Pani,
PDH-102,25,210.6999969,-60.9000015,Pani,Reflex
PDH-102,75,211,-61.5,Pani,Reflex
PDH-102,125,211.1000061,-62.4000015,Pani,Reflex
PDH-102,175,211.3999939,-64,Pani,Reflex
PDH-103,0,300,-60,Pani,
PDH-103,25,302.8999939,-60.7000008,Pani,Reflex
PDH-103,75,303.2999878,-60.7000008,Pani,Reflex
PDH-103,125,303.5,-60.5999985,Pani,Reflex
PDH-103,175,303.6000061,-60.4000015,Pani,Reflex
PDH-104,0,123,-70,Pani,
PDH-104,75,123.8000031,-71.8000031,Pani,Reflex
PDH-104,125,122.0999985,-71.6999969,Pani,Reflex
PDH-104,175,122,-72.3000031,Pani,Reflex
PDH-104,225,122.1999969,-73.0999985,Pani,Reflex
PDH-104,275,121.8000031,-73.1999969,Pani,Reflex
PDH-104,325,123.5,-73.5999985,Pani,Reflex
PDH-104,375,121.1999969,-72.4000015,Pani,Reflex
PDH-104,410.1000061,120.8000031,-73,Pani,Reflex
PDH-105,0,0,-90,Pani,
PDH-105,25,133.1000061,-89.5999985,Pani,Reflex
PDH-105,75,244.6999969,-89.8000031,Pani,Reflex
PDH-105,125,37.5999985,-89.6999969,Pani,Reflex
PDH-105,175,17.5,-89.6999969,Pani,Reflex
PDH-105,225,22.7000008,-89.1999969,Pani,Reflex
PDH-105,275,51.5,-89.6999969,Pani,Reflex
PDH-106,0,300,-60,Pani,
PDH-106,25,301.7999878,-59.2000008,Pani,Reflex
PDH-106,75,302,-59.5999985,Pani,Reflex
PDH-106,125,301.6000061,-60,Pani,Reflex
PDH-107,0,0,-90,Pani,
PDH-107,25,332.5,-89.8000031,Pani,Reflex
PDH-107,89,56.0999985,-89.6999969,Pani,Reflex
PDH-107,145,239.6999969,-89.5999985,Pani,Reflex
PDH-108,0,123,-55,Pani,
PDH-108,25,124.1999969,-58.0999985,Pani,Reflex
PDH-108,75,124.5999985,-59,Pani,Reflex
PDH-108,125,125.5999985,-60,Pani,Reflex
PDH-108,175,125.6999969,-60.2999992,Pani,Reflex
PDH-108,225,125.1999969,-61.4000015,Pani,Reflex
PDH-108,275,124.5999985,-62,Pani,Reflex
PDH-109B,0,123,-72,Pani,
PDH-109B,25,119.5,-74.3000031,Pani,Reflex
PDH-109B,75,118.5,-73.9000015,Pani,Reflex
PDH-109B,125,119.1999969,-73.8000031,Pani,Reflex
PDH-109B,175,118.0999985,-74.5,Pani,Reflex
PDH-109B,225,118.8000031,-74.8000031,Pani,Reflex
PDH-109B,275,118.0999985,-74.5,Pani,Reflex
PDH-109B,325,119.6999969,-74.5,Pani,Reflex
PDH-109B,375,120.5,-74.6999969,Pani,Reflex
PDH-109B,410,120.4000015,-74.6999969,Pani,Reflex
PDH-11,0,123,-70,Pani,
PDH-11,25,123.1999969,-71.5,Pani,Reflex
PDH-11,75,122.5999985,-72.5,Pani,Reflex
PDH-11,125,122.3000031,-72.6999969,Pani,Reflex
PDH-11,185,122,-73.3000031,Pani,Reflex
PDH-110,0,123,-65,Pani,
PDH-110,25,127.8000031,-68.4000015,Pani,Reflex
PDH-110,75,127.4000015,-68.5,Pani,Reflex
PDH-110,125,127.5,-68.4000015,Pani,Reflex
PDH-110,175,127.5999985,-68.6999969,Pani,Reflex
PDH-110,225,128,-69,Pani,Reflex
PDH-110,267,127.9000015,-69.0999985,Pani,Reflex
PDH-111,0,123,-55,Pani,
PDH-111,25,126.6999969,-57.9000015,Pani,Reflex
PDH-111,75,127.1999969,-58.2000008,Pani,Reflex
PDH-111,125,123.8000031,-58.5999985,Pani,Reflex
PDH-111,175,124,-58.7000008,Pani,Reflex
PDH-111,225,124.3000031,-59.4000015,Pani,Reflex
PDH-111,275,123.3000031,-60.5,Pani,Reflex
PDH-112,0,123,-65,Pani,
PDH-112,25,118.4000015,-67.3000031,Pani,Reflex
PDH-112,75,118.6999969,-67.1999969,Pani,Reflex
PDH-113,0,123,-65,Pani,
PDH-113,25,121.5999985,-65.5,Pani,Reflex
PDH-113,75,121.9000015,-65.3000031,Pani,Reflex
PDH-113,125,121,-65.4000015,Pani,Reflex
PDH-114,0,126,-45,Pani,
PDH-114,25,133.1000061,-46.5999985,Pani,Reflex
PDH-114,75,132.1999969,-47.2999992,Pani,Reflex
PDH-114,125,129.6999969,-49.2000008,Pani,Reflex
PDH-114,175,131.6999969,-50.5999985,Pani,Reflex
PDH-114,225,130.1000061,-52.2000008,Pani,Reflex
PDH-114,262.1000061,130.5,-53.4000015,Pani,Reflex
PDH-115,0,123,-65,Pani,
PDH-115,25,122.9000015,-65.6999969,Pani,Reflex
PDH-115,75,122.6999969,-65.8000031,Pani,Reflex
PDH-115,125,123.5999985,-65.3000031,Pani,Reflex
PDH-115,175,122,-65.8000031,Pani,Reflex
PDH-115,225,122.8000031,-65.5,Pani,Reflex
PDH-116B,0,123,-85,Pani,
PDH-116B,25,121.5,-87.6999969,Pani,Reflex
PDH-116B,75,122.4000015,-87.8000031,Pani,Reflex
PDH-116B,125,135.3999939,-88.4000015,Pani,Reflex
PDH-116B,175,121.8000031,-88.0999985,Pani,Reflex
PDH-116B,225,114.5999985,-87.8000031,Pani,Reflex
PDH-116B,250,110.3000031,-88.1999969,Pani,Reflex
PDH-116B,275,113.4000015,-88.8000031,Pani,Reflex
PDH-116B,325,105.4000015,-88.8000031,Pani,Reflex
PDH-116B,375,97,-89,Pani,Reflex
PDH-117,0,123,-65,Pani,
PDH-117,25,126.5,-66.3000031,Pani,Reflex
PDH-117,75,125.5999985,-67.1999969,Pani,Reflex
PDH-117,125,125.1999969,-67.4000015,Pani,Reflex
PDH-117,153.5,125,-67.1999969,Pani,Reflex
PDH-118,0,120,-65,Pani,
PDH-118,25,123.9000015,-65.1999969,Pani,Reflex
PDH-118,75,122.9000015,-66.0999985,Pani,Reflex
PDH-118,125,123.3000031,-67.0999985,Pani,Reflex
PDH-118,175,123.6999969,-68.1999969,Pani,Reflex
PDH-118,225,123,-68.1999969,Pani,Reflex
PDH-119,0,123,-75,Pani,
PDH-119,25,123.6999969,-75.6999969,Pani,Reflex
PDH-119,75,123.0999985,-76.4000015,Pani,Reflex
PDH-119,125,122.5,-76.5999985,Pani,Reflex
PDH-119,175,124,-76.8000031,Pani,Reflex
PDH-119,212.3999939,124.3000031,-76.8000031,Pani,Reflex
PDH-12,0,123,-85,Pani,
PDH-12,25,126.3000031,-85.5999985,Pani,Reflex
PDH-12,75,129.6999969,-85.4000015,Pani,Reflex
PDH-12,125,123.4000015,-86.0999985,Pani,Reflex
PDH-12,175.8999939,118,-86.4000015,Pani,Reflex
PDH-120,0,123,-63,Pani,
PDH-120,25,125,-65.0999985,Pani,Reflex
PDH-120,75,125.5,-65.5,Pani,Reflex
PDH-120,120,126.8000031,-65.6999969,Pani,Reflex
PDH-121,0,0,-90,Pani,
PDH-121,25,319.2000122,-89.5,Pani,Reflex
PDH-121,75,11.8000002,-89.8000031,Pani,Reflex
PDH-121,125,286.2000122,-89.9000015,Pani,Reflex
PDH-121,165.5,42.4000015,-89.5999985,Pani,Reflex
PDH-122,0,123,-65,Pani,
PDH-122,25,126.4000015,-65.4000015,Pani,Reflex
PDH-122,60,125.9000015,-65.6999969,Pani,Reflex
PDH-123,0,123,-85,Pani,
PDH-123,25,131,-85.8000031,Pani,Reflex
PDH-123,75,131.6000061,-85.8000031,Pani,Reflex
PDH-123,125,130.8999939,-85.8000031,Pani,Reflex
PDH-124,0,123,-65,Pani,
PDH-124,25,125.5,-67.1999969,Pani,Reflex
PDH-124,75,123.6999969,-67.8000031,Pani,Reflex
PDH-124,125,122.3000031,-69,Pani,Reflex
PDH-125,0,123,-67,Pani,
PDH-125,25,122.8000031,-67.8000031,Pani,Reflex
PDH-125,75,123,-68,Pani,Reflex
PDH-125,125,123.9000015,-68,Pani,Reflex
PDH-125,175,124.4000015,-67.3000031,Pani,Reflex
PDH-125,225,124.8000031,-67.9000015,Pani,Reflex
PDH-126,0,135,-65,Pani,
PDH-126,25,134.6000061,-66.3000031,Pani,Reflex
PDH-126,75,135,-68,Pani,Reflex
PDH-126,125,134.6000061,-68.4000015,Pani,Reflex
PDH-126,175,135.5,-69.1999969,Pani,Reflex
PDH-127,0,123,-70,Pani,
PDH-127,25,124.9000015,-71.0999985,Pani,Reflex
PDH-127,75,124,-71.5,Pani,Reflex
PDH-127,125,124.3000031,-72.1999969,Pani,Reflex
PDH-127,175,123.0999985,-72.5,Pani,Reflex
PDH-128,0,123,-65,Pani,
PDH-128,25,127.3000031,-67.3000031,Pani,Reflex
PDH-128,75,126.6999969,-68.5999985,Pani,Reflex
PDH-128,125,127.4000015,-69.5,Pani,Reflex
PDH-128,175,129.6000061,-70.8000031,Pani,Reflex
PDH-128,209.3999939,129.5,-71.3000031,Pani,Reflex
PDH-129,0,117,-81,Pani,
PDH-129,25,114.6999969,-80.5,Pani,Reflex
PDH-129,75,116.9000015,-81,Pani,Reflex
PDH-129,125,116.5999985,-80.9000015,Pani,Reflex
PDH-129,175,119.3000031,-81.3000031,Pani,Reflex
PDH-129,225,121.3000031,-81.4000015,Pani,Reflex
PDH-129,275,123.4000015,-81.5,Pani,Reflex
PDH-129,312.5,125.5,-81.6999969,Pani,Reflex
PDH-13,0,123,-80,Pani,
PDH-13,25,128.5,-81.3000031,Pani,Reflex
PDH-13,75,126.3000031,-81.3000031,Pani,Reflex
PDH-13,125,124.5,-81.6999969,Pani,Reflex
PDH-130,0,123,-70,Pani,
PDH-130,25,122.1999969,-70.5,Pani,Reflex
PDH-130,75,121.5,-71.3000031,Pani,Reflex
PDH-130,102.5999985,122.4000015,-71.4000015,Pani,Reflex
PDH-14,0,0,-90,Pani,
PDH-14,25,120.6999969,-89.8000031,Pani,Reflex
PDH-14,75,356.3999939,-89.6999969,Pani,Reflex
PDH-14,175,355.2999878,-89.8000031,Pani,Reflex
PDH-15,0,123,-70,Pani,
PDH-15,25,123.3000031,-70.4000015,Pani,Reflex
PDH-15,75,122.8000031,-71,Pani,Reflex
PDH-15,105,122.9000015,-71.4000015,Pani,Reflex
PDH-16A,0,123,-50,Pani,
PDH-16A,25,118.5999985,-51.7000008,Pani,Reflex
PDH-16A,75,117.5,-52.7000008,Pani,Reflex
PDH-16A,115,115.8000031,-54,Pani,Reflex
PDH-16B,0,0,-90,Pani,
PDH-16B,25,16.2999992,-89.5999985,Pani,Reflex
PDH-16B,75,14.8000002,-89.9000015,Pani,Reflex
PDH-16B,125,323.7000122,-89.4000015,Pani,Reflex
PDH-17,0,123,-70,Pani,
PDH-17,25,125.4000015,-72.4000015,Pani,Reflex
PDH-17,75,125.3000031,-72.3000031,Pani,Reflex
PDH-17,125,124.9000015,-72.8000031,Pani,Reflex
PDH-18,0,123,-85,Pani,
PDH-18,25,128.6000061,-86.1999969,Pani,Reflex
PDH-18,75,128.3000031,-85.1999969,Pani,Reflex
PDH-18,125,202.1999969,-86,Pani,Reflex
PDH-18,159.8000031,122.8000031,-86.5,Pani,Reflex
PDH-19,0,123,-50,Pani,
PDH-19,25,123.5,-50.5,Pani,Reflex
PDH-19,75,123.1999969,-51,Pani,Reflex
PDH-19,125,122,-52.2999992,Pani,Reflex
PDH-20,0,123,-75,Pani,
PDH-20,25,120.8000031,-76.1999969,Pani,Reflex
PDH-20,75,120.5,-76.0999985,Pani,Reflex
PDH-20,125,120.1999969,-76.9000015,Pani,Reflex
PDH-20,150,119.5999985,-76.8000031,Pani,Reflex
PDH-21,0,123,-45,Pani,
PDH-21,25,124.4000015,-46.9000015,Pani,Reflex
PDH-21,75,122.1999969,-49.0999985,Pani,Reflex
PDH-21,112,121.3000031,-50.7999992,Pani,Reflex
PDH-22,0,123,-50,Pani,
PDH-22,25,123,-50.9000015,Pani,Reflex
PDH-23,0,123,-45,Pani,
PDH-24,0,123,-75,Pani,
PDH-24,75,119.6999969,-71.4000015,Pani,Reflex
PDH-25,0,123,-65,Pani,
PDH-25,25,121.9000015,-64.4000015,Pani,Reflex
PDH-25,75,122,-65.9000015,Pani,Reflex
PDH-25,119.9000015,122.8000031,-66.5999985,Pani,Reflex
PDH-26A,0,123,-45,Pani,
PDH-26A,25,119.5999985,-47.7000008,Pani,Reflex
PDH-26A,75,119.5999985,-47.5999985,Pani,Reflex
PDH-26A,125,119.5,-48.4000015,Pani,Reflex
PDH-26A,164,119.3000031,-49.9000015,Pani,Reflex
PDH-26B,0,123,-80,Pani,
PDH-26B,25,115.0999985,-80.5999985,Pani,Reflex
PDH-26B,75,115.3000031,-80.4000015,Pani,Reflex
PDH-26B,110,112.0999985,-80.4000015,Pani,Reflex
PDH-27,0,123,-65,Pani,
PDH-27,25,121,-67.5999985,Pani,Reflex
PDH-27,75,121.4000015,-67.8000031,Pani,Reflex
PDH-27,94,121.4000015,-68.5,Pani,Reflex
PDH-28,0,123,-60,Pani,
PDH-28,25,121.9000015,-61.7000008,Pani,Reflex
PDH-28,83.3000031,122.3000031,-61.5999985,Pani,Reflex
PDH-29A,0,123,-60,Pani,
PDH-29A,25,123,-62.0999985,Pani,Reflex
PDH-29A,60.2999992,121.5,-61.2999992,Pani,Reflex
PDH-29B,0,0,-90,Pani,
PDH-29B,25,54.7999992,-88.9000015,Pani,Reflex
PDH-29B,57.7999992,44.0999985,-88.4000015,Pani,Reflex
PDH-30,0,123,-55,Pani,
PDH-30,25,122.8000031,-56.7000008,Pani,Reflex
PDH-30,75,122.0999985,-58,Pani,Reflex
PDH-30,85,122.1999969,-58.4000015,Pani,Reflex
PDH-31,0,0,-90,Pani,
PDH-31,25,257.2999878,-89.4000015,Pani,Reflex
PDH-31,75,273.5,-89.4000015,Pani,Reflex
PDH-31,123.1999969,357.7000122,-89.3000031,Pani,Reflex
PDH-32,0,123,-65,Pani,
PDH-32,25,122.6999969,-65.8000031,Pani,Reflex
PDH-32,75,122.5,-66.5999985,Pani,Reflex
PDH-32,125,122,-67.0999985,Pani,Reflex
PDH-32,144,122.1999969,-67.4000015,Pani,Reflex
PDH-33,0,0,-90,Pani,
PDH-33,25,321,-89.1999969,Pani,Reflex
PDH-33,75,328.8999939,-88.5999985,Pani,Reflex
PDH-33,140,354.7000122,-87.8000031,Pani,Reflex
PDH-34,0,206.3999939,-90,Pani,
PDH-34,25,58.2999992,-89.0999985,Pani,Reflex
PDH-34,75,87.4000015,-89.0999985,Pani,Reflex
PDH-34,125,66.0999985,-88.9000015,Pani,Reflex
PDH-35,0,123,-60,Pani,
PDH-35,25,122.1999969,-60.2000008,Pani,Reflex
PDH-35,75,121.5,-61.5999985,Pani,Reflex
PDH-35,125,120.4000015,-63.0999985,Pani,Reflex
PDH-35,175,118.5999985,-65.0999985,Pani,Reflex
PDH-35,190.6999969,118.6999969,-65.0999985,Pani,Reflex
PDH-36,0,123,-60,Pani,
PDH-36,25,123.4000015,-61.2999992,Pani,Reflex
PDH-36,75,123,-62.2999992,Pani,Reflex
PDH-36,125,122.8000031,-62.7999992,Pani,Reflex
PDH-36,175,122.5,-64.1999969,Pani,Reflex
PDH-36,201.1999969,123.3000031,-64.1999969,Pani,Reflex
PDH-37,0,123,-75,Pani,
PDH-37,25,119.5,-74.8000031,Pani,Reflex
PDH-37,75,120.1999969,-75.4000015,Pani,Reflex
PDH-37,150,122.0999985,-74.8000031,Pani,Reflex
PDH-37,175,123.8000031,-75.9000015,Pani,Reflex
PDH-37,225,125.4000015,-76.1999969,Pani,Reflex
PDH-37,246.6999969,125.9000015,-76.3000031,Pani,Reflex
PDH-38,0,0,-90,Pani,
